# Range file name:,Zn_R248Q_10+.txt,Zn_R248Q_10+.txt,Zn_R248Q_10+.txt,Zn_R248Q_10+.txt,Zn_R248Q_10+.txt,Zn_R248Q_10+.txt,Zn_R248Q_10+.txt
# Raw file name:,16122021_r248q_1pass_posttrap60_trapce10.raw,16122021_r248q_1pass_posttrap60_trapce25.raw,16122021_r248q_1pass_posttrap60_trapce30_dtraw.raw,16122021_r248q_1pass_posttrap60_trapce35_dtraw.raw,16122021_r248q_1pass_posttrap60_trapce40.raw,16122021_r248q_1pass_posttrap60_trapce50.raw,16122021_r248q_1pass_posttrap60_trapce60.raw
205.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228.649,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230.887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0
